time,open,high,low,close,tick_volume,spread,real_volume,SMA_3,SMA_10,EMA_10,EMA_25,RSI,MACD,Signal,Upper_Band,Lower_Band,ATR,Stochastic,ADX,HA_Close,HA_Open,HA_High,HA_Low
2021-04-26,1775.48,1783.5,1768.84,1781.39,95870,5,0,1780.743333333333,1770.729,1771.2399928742536,1757.26448162012,59.27209117404941,13.975511254133608,8.665722749583598,1805.8239597601676,1692.4040402398325,22.140678589973483,77.77028848746293,26.632697785444037,1777.3025,1780.3200000000002,1783.5,1768.84
2021-04-27,1781.27,1785.55,1773.76,1776.7,90326,0,0,1778.1900000000003,1773.8600000000001,1772.2327214425711,1758.7595214954956,57.15049290340848,13.4731999470755,9.627218189081978,1807.565313084979,1697.1516869150207,21.10561073097613,71.44782960366669,26.709038871431865,1779.32,1778.435,1785.55,1773.76
2021-04-28,1776.99,1782.54,1762.62,1781.47,104594,0,0,1779.8533333333332,1778.382,1773.9122266348309,1760.5064813804577,58.78722956395685,13.405745254373187,10.38292360214022,1804.2801846560128,1710.0778153439874,20.987049657878526,77.87813426799667,25.80758222997508,1775.905,1778.9850000000001,1782.54,1762.62
2021-04-29,1781.96,1789.98,1756.19,1772.28,105898,0,0,1776.8166666666666,1779.2600000000002,1773.6154581557705,1761.4121366588843,54.418406155654914,12.203321496886247,10.747003181089427,1802.0347892588395,1718.7812107411607,22.267344692090667,65.48935022917213,25.407498618305713,1775.1025,1779.23,1789.98,1756.19
2021-04-30,1772.61,1773.62,1764.24,1768.97,97490,0,0,1774.24,1778.4899999999998,1772.770829400176,1761.993510762047,52.874472661567346,10.777318638128918,10.753066272497325,1801.6334955638613,1723.1305044361388,20.97861022288159,61.027231059584715,25.035992407469873,1769.86,1777.12,1777.12,1764.24
2021-05-03,1766.81,1797.91,1766.04,1793.04,90768,0,0,1778.0966666666666,1780.716,1776.4561331455984,1764.3817022418898,61.532409492689986,12.074430903708617,11.017339198739583,1803.7647637545415,1727.4672362454585,22.067749200593443,92.54553803765482,25.901423798412935,1780.95,1770.79,1797.91,1766.04
2021-05-04,1792.58,1799.09,1771.01,1779.28,107458,0,0,1780.43,1780.789,1776.9695634827622,1765.52772514636,55.20707061487418,11.44183833640227,11.102239026272121,1804.545669749869,1730.3083302501313,22.668974280534094,69.40067964164359,26.75436663658696,1785.49,1779.925,1799.09,1771.01
2021-05-05,1778.34,1787.97,1770.49,1787.66,86898,0,0,1786.6599999999999,1780.1629999999998,1778.9132792131688,1767.2302078274092,58.07066804930885,11.683071385759604,11.21840549816962,1805.375714351567,1734.4872856484328,22.150076852480687,73.35664335664366,27.495307121884856,1781.115,1785.9299999999998,1787.97,1770.49
2021-05-06,1786.8,1818.12,1782.0,1815.22,110093,0,0,1794.0533333333333,1783.2490000000003,1785.5145011744107,1770.921730302224,65.89349132964705,14.592770872186748,11.893278572973047,1812.8048739805604,1732.9661260194393,23.547069167232607,95.31729371871488,29.282113098241435,1800.535,1783.0,1818.12,1782.0
2021-05-07,1814.64,1843.3,1812.85,1830.85,126630,0,0,1811.2433333333336,1788.6860000000001,1793.7573191426995,1775.5315972020528,69.4229600905789,18.225721940646736,13.159767246507785,1822.1547877500534,1732.3552122499464,24.237362250509353,85.70772586385023,31.553110332794912,1825.4099999999999,1801.01,1843.3,1801.01
